"lakeid","year4","gearid","effort","spname","total_caught"
"AL",1981,"BSEINE",11.0000,"BLACKCRAPPIE",43.0000
"AL",1981,"ELFISH",2.0000,"BLACKCRAPPIE",19.0000
"AL",1981,"FYKNET",4.0000,"BLACKCRAPPIE",5.0000
"AL",1981,"TRAMML",2.0000,"BLACKCRAPPIE",2.0000
"AL",1981,"VGN038",2.0000,"BLACKCRAPPIE",2.7870
"AL",1981,"VGN051",2.0000,"BLACKCRAPPIE",0.9290
"AL",1981,"BSEINE",11.0000,"BLACKNOSESHINER",2.0000
"AL",1981,"FYKNET",4.0000,"BLACKNOSESHINER",1.0000
"AL",1981,"BSEINE",11.0000,"BLUEGILL",52.0000
"AL",1981,"CRAYTR",19.0000,"BLUEGILL",6.0000
"AL",1981,"ELFISH",2.0000,"BLUEGILL",17.0000
"AL",1981,"FYKNET",4.0000,"BLUEGILL",37.0000
"AL",1981,"MINNOW",20.0000,"BLUEGILL",12.0000
"AL",1981,"BSEINE",11.0000,"BLUNTNOSEMINNOW",44.0000
"AL",1981,"FYKNET",4.0000,"BLUNTNOSEMINNOW",2.0000
"AL",1981,"BSEINE",11.0000,"COMMONSHINER",16.0000
"AL",1981,"BSEINE",11.0000,"GOLDENSHINER",74.0000
"AL",1981,"FYKNET",4.0000,"GOLDENSHINER",32.0000
"AL",1981,"VGN019",2.0000,"GOLDENSHINER",1.0590
"AL",1981,"FYKNET",4.0000,"IOWADARTER",1.0000
"AL",1981,"BSEINE",11.0000,"JOHNNYDARTER",6.0000
"AL",1981,"BSEINE",11.0000,"LARGEMOUTHBASS",27.0000
"AL",1981,"ELFISH",2.0000,"LARGEMOUTHBASS",3.0000
"AL",1981,"MINNOW",20.0000,"LARGEMOUTHBASS",1.0000
"AL",1981,"VGN019",2.0000,"LARGEMOUTHBASS",0.9290
"AL",1981,"BSEINE",11.0000,"LOGPERCH",7.0000
"AL",1981,"BSEINE",11.0000,"MIMICSHINER",5.0000
"AL",1981,"BSEINE",11.0000,"MOTTLEDSCULPIN",2.0000
"AL",1981,"FYKNET",4.0000,"MOTTLEDSCULPIN",1.0000
"AL",1981,"ELFISH",2.0000,"MUDMINNOW",1.0000
"AL",1981,"BSEINE",11.0000,"MUSKELLUNGE",1.0000
"AL",1981,"ELFISH",2.0000,"MUSKELLUNGE",1.0000
"AL",1981,"VGN089",2.0000,"MUSKELLUNGE",0.9300
"AL",1981,"BSEINE",11.0000,"NORTHERNPIKE",1.0000
"AL",1981,"ELFISH",2.0000,"NORTHERNPIKE",1.0000
"AL",1981,"FYKNET",4.0000,"NORTHERNPIKE",1.0000
"AL",1981,"TRAMML",2.0000,"NORTHERNPIKE",7.0000
"AL",1981,"BSEINE",11.0000,"PUMPKINSEED",6.0000
"AL",1981,"ELFISH",2.0000,"PUMPKINSEED",3.0000
"AL",1981,"FYKNET",4.0000,"PUMPKINSEED",7.0000
