year,ID100,ID101,ID102,ID103,ID104,ID105,ID106,ID107,ID108,ID109,ID110,ID111,ID112,ID113,ID114,ID115,ID116,ID117,ID118,ID119,ID12,ID120,ID121,ID122,ID123,ID124,ID125,ID126,ID127,ID128,ID129,ID13,ID130,ID131,ID132,ID133,ID134,ID135,ID136,ID137,ID138,ID139,ID14,ID140,ID141,ID142,ID143,ID144,ID145,ID146,ID147,ID148,ID149,ID15,ID150,ID151,ID152,ID153,ID154,ID155,ID156,ID157,ID158,ID159,ID16,ID160,ID161,ID162,ID163,ID164,ID165,ID166,ID167,ID168,ID169,ID17,ID170,ID171,ID172,ID173,ID175,ID176,ID177,ID178,ID179,ID180,ID181,ID182,ID183,ID184,ID185,ID186,ID187,ID189,ID19,ID190,ID192,ID193,ID194,ID195,ID196,ID197,ID198,ID199,ID2,ID20,ID200,ID201,ID203,ID205,ID206,ID23,ID24,ID25,ID26,ID27,ID28,ID29,ID30,ID31,ID32,ID33,ID35,ID36,ID37,ID38,ID39,ID40,ID41,ID42,ID43,ID44,ID45,ID46,ID47,ID50,ID51,ID52,ID53,ID54,ID55,ID56,ID57,ID58,ID59,ID6,ID60,ID61,ID62,ID63,ID64,ID67,ID68,ID69,ID70,ID71,ID72,ID73,ID74,ID75,ID76,ID77,ID78,ID79,ID8,ID80,ID81,ID82,ID83,ID84,ID85,ID86,ID87,ID88,ID89,ID9,ID90,ID91,ID92,ID93,ID94,ID95,ID96,ID97,ID98,ID99,Year
1984,0,0,0,0,0,0,0,0.001498588,0,0,0,0,0,0,0,0,0,0,0,0.00198794,0,0,0,0,0.029848171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003829979,0.160576865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15642753,0.091930278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004812134,0,0,0,0.380045735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002824768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001061496,0,0,0,0,0,0,0,0,0,0.019054682,0,1984
1985,0,0.001104963,0.025935543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29E-05,0,0.004064945,0,0.052533686,0.008733888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003308476,0,0,0.014932619,0.372070926,0.006386724,0,0.001012142,0.000222731,0,0,0,0,0.004418988,0,0,0.287292627,0,0,0,0.013739554,0.000104549,0,0,0.437334459,0.075952871,0.000285881,0,0,0,0,0,0,0,0,0,0.003552151,0,0,0,0,0,0,0,0,0,0.132089039,0,0,0,0,0,0,0.00442023,0,0,0,0.428885542,0,0,0,0.00055262,0,0,0,0,0,0,0.269199481,0,0,0,0,0,0,0,0,0,0.000218811,0.005597861,0,0,0,0.389116201,0.540286335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002361718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000270369,0.000270036,0.000387407,0,0,0,0,0.092669544,0,0,0,0,0,0,0,0,0,0,1985
1986,0,0,0.014695246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013788394,0,0.015762377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011434231,0,0,0.002262439,0.00035081,0,0.019842597,0.000326365,0.019262104,0,0,0,0,0,0,0,0.006776074,0,0,0,0,0,0,0,0.008320617,0.128566104,0.03572782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001949548,0,0.023187914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02150548,0.000741016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093138904,0,0,0,0,0,0,0,0,0,0,0.061249175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064570081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002361055,0,0.007877141,0,0,0,0,1986
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324309431,9.07E-05,0.004929664,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151294,0,0,0.002667464,0,0.005135443,0.016453235,0.01265231,0.215775276,0,0,0,0,0,0.000714103,0,0.064782006,0,0,0,0,0,0,0.002108919,0.041716868,0.003128112,0.438635483,0,0,0,0,0,0,0,0.044476312,0,0,0,0,0,0,0,0,0.00545185,0.025852219,0,0.092010995,0,0,0,0,0,0.039464484,0.026667736,0,0,0,0.018340883,0,0,0,0.031409717,0,0.000199083,0,0,0,0,0.005599305,0,0,0,0,0,0,0,0.004140954,0,0,0,0,0.006656337,0,0.043301373,0.009827545,0,0,0,0,0,0,0,0,0,0,0,0,0.006051543,0.005075902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373154895,0,0.002639937,0,0.000332785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00746911,0,0.006511185,0,0,0.003086566,0,0,0,8.05E-05,0,0,0,0,0,0.033581619,1987
1988,0,0,0.002269338,0,0.030456684,0.079484258,0,0.109144139,0,0,0,0,0,0,0,0,0,0,0,0.002294953,0,0.055224302,0.211804349,0,0,0.077423488,0,0,0,0,0,9.09E-05,0,0.197659281,0,0,0,0.03361845,0,0,0.071109156,0.000449302,0.002814,0.009387574,0,1.182038022,0,0,0,0,0.002914652,0,0.164365226,2.971156859,0,0,0,0,0,0,0.000388344,0.222405612,0.006048092,0.131910012,0,0,0,0,0,0,0.15590108,0.485711497,0,0,0,0,0,0,0,0,0.033752608,0.817273163,0,1.184496093,0,0,0,0,0,0,0,0,0,0,0.00790261,0,0,0,1.064184108,0.031498728,1.293050125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086347765,0.710483892,1.483203374,0,0,0.091916991,0.075283927,0,0,0,0,0,0.013920805,0,0,0,1.02481539,0,0,0,0,0,0,0.522406588,0.005209937,0,0,0,0,0.064412775,0.012337767,6.536201448,0.038649564,0.540849054,0,0,0,0,0.127529147,0,0,0,0,0,0,0,0,0.195903623,0.547330397,0,0.088361643,0,0,0,0,0.047578903,0,0.122892908,0.062284806,0.257225936,0.028371887,0,0,0,0.001567315,0,0.008744945,0,0.003108739,2.180730252,0,1988
1989,0,0,0.017400701,0,0,0.004349127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002863358,0,0.000783572,0,0,0,0,0.000209604,0,0,0,0,0,0,0,0.005084219,0,0,0.010204385,0,0,0,0,0,0,0,0,0,0,0,0,0.855733163,0,0,0,0,0,0,0,0.000405911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116559097,0,0.177584286,0,0,0,0,0,0,0.1023398,0,0,0,0,0,0,0,0.454071067,0,0.002083533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.24E-05,0.023621903,0.670840247,0.296559617,0.741158032,0.241929078,0,0,0.005638952,0,0,0.185663701,0,0,0,0.2515054,0.1568213,0,0,0.005106305,0,0,0.000414943,0,0,0,0,0,0,0,0,0.591997974,0.548629858,0.275684531,0,0.020703768,0,0,0,0,0,0,0,0,0,0.052296455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018145,0.348102652,0.05911079,0,0,0,0,1989
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000345141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054555888,0,0,0,0,0.006559943,0,0,0,0,0,0,0,0.015227024,0,0,0,0,0,0,0,0.003055103,0,0.000822753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032672481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005918463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001799024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001736918,0.003252419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024462273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001257496,0.006860015,0.003696341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101047109,0,0.006281528,0,0,0,0,0,0,0.009901982,0,0,0,0,0,0,0,0.087468382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000816479,0,0,0,0.034357706,0.018984357,0,0,0,0,0,0,0,0,0,0,0,0.100657176,0,0,0.000628996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024383866,0,0,0,0,0,0.003946879,0,0,0.00777647,0,0,0,0,0,0,0,0,0,0,0,0,6.42E-05,0,0.010186601,0,0,0,0.000107085,0,0,0,0,0,0,0,1991
1992,0,0,0.002771714,0,0,0.000150647,0,0,0,0,0,0,0,0,0,0,0,0,0.009412877,0,0,0.007301907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033451274,0,0,0.02405514,0,0.000531253,0.031001465,0,0,0,0,0,0,0,0,0.000595343,0.000879768,0,0,0,0,0,0,0,0.116480009,0.00332718,0.295647953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050461946,0.003952568,0.265514314,0.021643886,0,0,0,0,0.016394762,0,0,0,0,0,0,0,0,0,0.108620284,0.004677706,0.018768516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000259404,0.070372048,0,0,0,0,0,0,0,0.01538308,0,0,0.000705089,0,0.000289259,0,0,0,0,0,0,0,0,0,0,0,0.189978044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056181494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137770804,0.032945458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062700983,0,0,0,0,0,0,0,0,0,0,0.014892837,0.02747901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019910732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00685099,0,0,0,0,0,0,0,0.000149186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
