year,ID100,ID101,ID102,ID103,ID104,ID105,ID106,ID107,ID108,ID109,ID110,ID111,ID112,ID113,ID114,ID115,ID116,ID117,ID118,ID119,ID12,ID120,ID121,ID122,ID123,ID124,ID125,ID126,ID127,ID128,ID129,ID13,ID130,ID131,ID132,ID133,ID134,ID135,ID136,ID137,ID138,ID139,ID14,ID140,ID141,ID142,ID143,ID144,ID145,ID146,ID147,ID148,ID149,ID15,ID150,ID151,ID152,ID153,ID154,ID155,ID156,ID157,ID158,ID159,ID16,ID160,ID161,ID162,ID163,ID164,ID165,ID166,ID167,ID168,ID169,ID17,ID170,ID171,ID172,ID173,ID175,ID176,ID177,ID178,ID179,ID180,ID181,ID182,ID183,ID184,ID185,ID186,ID187,ID189,ID19,ID190,ID192,ID193,ID194,ID195,ID196,ID197,ID198,ID199,ID2,ID20,ID200,ID201,ID203,ID205,ID206,ID23,ID24,ID25,ID26,ID27,ID28,ID29,ID30,ID31,ID32,ID33,ID35,ID36,ID37,ID38,ID39,ID40,ID41,ID42,ID43,ID44,ID45,ID46,ID47,ID50,ID51,ID52,ID53,ID54,ID55,ID56,ID57,ID58,ID59,ID6,ID60,ID61,ID62,ID63,ID64,ID67,ID68,ID69,ID70,ID71,ID72,ID73,ID74,ID75,ID76,ID77,ID78,ID79,ID8,ID80,ID81,ID82,ID83,ID84,ID85,ID86,ID87,ID88,ID89,ID9,ID90,ID91,ID92,ID93,ID94,ID95,ID96,ID97,ID98,ID99,Year
1984,0,0,3.65E-05,0,0,0,0,0.046406088,0,0,0,0,0,0,0,0,0,0,0,0.189606542,0,0.070486668,0,0,0.264846372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217137267,1.286816617,1.140437621,0.397096333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097336474,0.730993875,1.14114703,0.601872735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249031413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319281963,0,0.124238915,0,0.73580622,0,0.042421608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125694291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482915,0.029244171,0,0,0,0,0,0,0,0,0.435282256,0,1984
1985,0,0.635077203,0.722626394,0,0,0,0,7.65E-07,0,0,0,0,0,0,0,0,0,0.925907203,0,2.109171876,0,1.990224771,0.228983622,0.042668541,0,0,0,0,0,0,0,0.004893913,0,0,0,0,0,3.192873475,0,0,0.661941081,3.014048223,0.695768184,0.554915692,0.102126667,0.048815509,0,0,0,0,0.788082508,0,0,0.783477667,0.053040778,0,0,0.193240241,0.137320723,0,0,2.127727467,0.541193216,0.374905575,0,0,0,0,0,0,0.057984014,0,0,0.179076346,0,0,0,0,0,0,0,0,0,2.101435119,0,0,0,0,0,0,0.901171546,0,0,0,8.1916768,0,0,0,0.230730618,0,0.112356552,0,0,0,0,1.477669368,0,0,0,0,0,0,0,0,0.002075763,0.461219143,0.666200754,0.278436165,0,1.585002418,4.458578983,7.00065933,0,0,0,0,0,0,0.011263358,0,0,0,0,0.463811514,0.312742719,0.14971818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634141271,0.624986563,1.008347723,0,0,0.024337452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387119756,0.370500156,0.658204861,0.124216146,0.267864825,0,0,3.692419188,0,0,0,0.121702077,0,0.005828963,0,0,0,0,1985
1986,0,0.43749997,1.469896051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376757698,0,0.475777915,0,0.115406893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.430673747,0,0,0.245024693,0.19734495,0.034507784,0.801299163,0.451485555,0.199629875,0,0,0,0,0,0,0,0.842437824,0.013948148,0,0,0,0,0,0,0.132872593,1.607917389,0.776001369,0,0.217878502,0,0,0,0,0.017638454,0,0,0,0,0,0,0,0,0,0,0.209120952,0,1.989871476,0,0,0,0,0,0,0.032536066,0,0,0,0.316075239,0,0,0,1.416231821,0.155088803,0.615193679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997116529,1.841319159,0,0,0,0,0,0,1.024942591,0,0,0,0,0,0,0.785350409,0,0,0,1.043090568,0,0,0.035792225,1.420536791,0.638697282,1.961986586,0,0.002211987,0,0,0,0,0,0.299787525,0,0,0,1.244752309,0,0,0.299529178,0,0,0,0,0,0,0,0,0,0,0.188433094,0,0,0,0,0.485930717,0,0,0,0.395240959,0,0.135029267,0,0,0,0.751389196,1986
1987,0.00721594,0,0.955891503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005322908,0,0.013259944,0,0.799592589,0.005182593,0.527568589,0,0,0,0,0,0,0,0,0,0,0,0,0,4.759268273,0,0,2.392518769,0.13846199,0.119404192,0.684043629,0.148308597,1.490504312,0,0,0,0,1.12749679,0.280719,0,2.230220335,0,0,0,0,0,0,0.173667177,0.500487562,0.203652308,2.278783723,0,0,0,0,0,0,1.935873586,0.62817414,0,0,0,0,0,0,0,0,0.021192848,0.270890388,1.000586067,1.01261433,0,0,0,0.07749242,1.961690176,0.484614973,0.320560747,0,0,0,1.577895816,1,0,0,0.930281798,0.114667844,0.758009166,0,0,0,0,0,0,0,0,0,0,0,0,0.086536424,0,0,0.067981591,0.073309152,0.176710253,0,0.15449192,0.352632066,0,0,0,0,0,0.627146731,0.075255189,0,0,0,0,0,0.354450217,0.222659798,0,0,0,0,0,0.140179193,0.776100506,1.361124846,0.023224512,0,0.19024897,0,0,0,4.089051766,1.05413563,0.938407524,0,0.144338104,0,0,0,0.502722938,0.055314326,0.362612171,0,0,0,0,0,0,0.018222422,0,0,0.451136968,0,0.5538377,0,0,0.333347875,0,0,0,1.046125742,0,0.367479055,0,0,0,0.269944417,1987
1988,0,0,1.114496578,0,0,0.719952444,0.006808611,0.67470238,0,0,0,0,0,0,0,0,0,0.247838232,0.304657707,1.346245786,0,0.304636394,0,0.133358384,0,0.182949292,0,0.013119907,0,0,0,0.038540108,0,1,0,0,0,1.382207245,0,0,1.312063397,0.534956103,0.095596279,0.519215158,0,3.518078553,0,0,0.087276673,0,0.112613217,0,0,22.58163818,0,0,0,0,0,0,0,1.187258509,0.728757208,0.145240351,0,0.462956736,0.001353669,0,0,0,0,0.993483087,0,0,0,0,0,0,0,0,0,3.029222832,0,0.96352888,0,0,0,0.045803567,0.083613711,0.443361466,0.219009928,0,0,0,0.211239109,0,0,0,3.978744081,0,0.456320546,0,0,0,0,0.036217064,0,0,0,0,0,0,0,0,0,1.443883705,3.617613634,5.404880626,0.009515652,0,0.469075868,0.450490794,0,0,0,0,0.047921469,0.298559622,0,1.066781888,0.780992035,1.79936814,0,0.037058756,0.118795474,0.72815505,0,0,0.72607389,0.288931036,0,0,1.277662524,0.069560126,0,0.066733133,8.200524156,0.199046341,0.855501734,0.061519595,0.756227183,0,0.472176598,0.574865747,0,0,0,0,0,0,0,0,0,1.344636802,0,0,0.525367831,0,0,0,0.157893953,0,0.999570285,0.130768733,0.415404261,0.17888296,0,0,0,1.167110648,0,0.692724913,0.005318443,0.049965226,7.007192208,0,1988
1989,0,0,0.130476594,0,0,0.343510883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399495446,0,0.036082536,0,0,0,0,0.004494903,0,0,0,0,0,0,0,2.42119048,0,0,1.568837105,0.446403792,0,0,0,0.216762562,0,0,0,0,0,0,0,2.794838972,0,0,0,0,0,0,0,0.69008712,0,0,0,0,0.362730215,0,0,0,0,0.035128944,0,0,0,0,0,0,0,0,0,0.653956921,0.843600991,1.718901368,0,0,0,2.810910316,0.097110437,0,0.533527798,0,0,0,12.44095896,0.281077585,0,0,2.042544648,0.008632918,1.338974243,0,0,0,0,1.572289371,0,0,0,0,0,0,0,0,0,0,0.000422786,0.838161071,3.328368757,6.354829576,4.697740896,1.139808967,0,0,0.388950352,0,0,0.731296818,0,0,0,1.266351034,0.828504497,0,0.140822329,0.090648333,0.010319952,0,0.181894023,0,0,0,0,0,0,0,0,3.013710096,2.722608786,0.517881222,1.164722345,0.585621583,0.774717847,0.035092496,0,0,0,0,0,0,0,0.234047238,0,0,0,0,0,0,0,0,0,0,0,0,0,6.939525588,0,0,0,0.282663516,1.403485066,0.30576397,0,0,0,0,1989
1990,0,0,1.05676713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001092953,0.717249908,0,0.144704677,0,0.493481464,0.008428598,0,0.013382,0,0,0.011249835,0,0,0,0,0,0,0,0,0,1.412301528,0,0,1.099848654,0.098829854,0.249676761,0,0,0.582610998,0,0,0,0,0,0.4974895,0,1.126496719,0,0,0,0,0,0,0,0.089260824,0,0.106837262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986195909,0,0,0,0,0,0,0.056399172,0,0,0,5.593920001,0,0,0,0,0,1.02227812,0,0,0,0,0.012256639,0,0,0,0,0,0,0,0.362456576,0,0,0,0.523877815,1.688899578,9.739496814,6.303676236,5.692408976,0,0,0,0,0,0,0.303557425,0,0,0,0,0.969717013,0.179300489,0,0,0,0.093220139,0,0.405676533,0.429578968,0.885405874,3.758316144,0.146914922,0,0,0,0,0,1.129797477,0,0.012032146,0,0,0,0.437715926,0,0,1.15980935,0,0,0,0,0,0,0,0,0,0,0.703300382,0.552219847,0,0,0,3.527368502,0,0,0,0.190441029,0,0,0.305672901,0,0,0,1990
1991,0,0,0.342319278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397104009,0.330431761,0.1092998,0,0,0.084733793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244162548,0,0,0.22418374,0,0,0,0,0.927746845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056899285,0.213959861,0,0,0,0,0,0,0,0,1.067315341,0,0,0,0,0,0,0,0,0,0,0.969895549,0,0.424294447,0,0,0,0.046863186,1.406673182,0.184971337,0,0,0,0,0.438710107,0,0,0,0.611824977,0,0.006698926,0,0,0,0,0.000406648,0,0,0,0,0,0,0,0,0,0,1.023734518,0.178481945,0.031977431,0,0.212788429,0.948514882,0,0,0,0,0,0,0,0,0.069796864,0.006330982,0,0.144930816,0,0,0.013293908,0,0,0,0,0,0,0,0,0,0.12540069,0,0,0,0,0,0,0,0,0,0.221551066,0,0,0,0,0,0.072590433,2.961432788,0,2.319280824,0.594117301,0,0,0,0,0,0.03250613,0,0.218402367,0.096503212,0,0,0,0.25949134,0,0.007807255,2.548887672,1,0,0,1991
1992,0,0,0.96661918,0,0,0.203034245,0,0,0,0,0,0,0,0,0,0,0,0.045482378,0.11640583,0,0,1.819300014,0.084916724,0,0.137800732,0,0,0,0,0,0,0,0,0,0,0,0,0.211688199,0,0,0.403510355,0.403238901,0.125409652,0.535680389,0,0.08610741,0,0,0,0,0,0,0.004607682,0.069097444,0,0,0,0,0,0,0,1.28755949,0.106315707,1.513061685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54069455,0.987923368,0.974564478,0.335602922,0,0,0,0.574337478,0.121938394,0,1.078535404,0,0,0,0.927159388,0,0,0,0.520685731,0.370561394,0.823107351,0,0,0,0,0,0,0,0,0,0,0,0,0.004957641,0,0,0,0,0,0,0.240815864,0.385986392,0,0,0,0,0.466463759,0.593286728,0,0,0,0,0,0,0,0.042759422,0.114614185,0.03518948,0.122615402,0,0.36094341,0.095182844,0,0.700625627,0.059000527,0,0,0,0,0,0.499291826,0.114326962,0.458257891,0.220182631,0.009335759,0,0,0,0.089839351,0.087001775,0,0,0,0.039531098,0,0.424503193,0.044953734,0.130855485,0,0,0,0,0,0,0,0.031192702,0,0,0,0.183051768,0,0,0,0,0,0,1992
1993,0,0,0.108156454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065486742,0.128963202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22435443,0.584582384,0,0,0,0,0,0,0,0,0,0,0,0.361513198,0,0,0,0,0,0,0,1.503637829,0.008408612,0,0,0,0,0,0,0,0.164856366,0,0.533052009,0.961747449,0,0,0,0,0,0,0,0.182934573,0,0,0,0,0,0,0,0,0.772151492,0,0,0,0.288736743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001483801,0.50844195,0.247852746,0,0.007697085,1.355493735,0,0,0,0,0,0,0,0.232280658,0.685311359,0.189784701,0,0,0,0,0,0,0,0,0,0,0.254488453,0.287118851,0.983543514,0.315248261,0,0,0,0,0,0,0,0,0,0,0,1.47382367,0,0,0.046766478,0,0,0,0,0,0,0.253995852,0,0,0,0,0,0,0,0,0,0,0,0,0.230751075,0,0,0,0,0,0,1993
