region,trend,slope_prob,rhat
ID100,TRUE,0.5049,1.003
ID101,TRUE,0.4977,1.001
ID102,TRUE,0.6233,1
ID103,TRUE,0.5,1.006
ID104,FALSE,0.5028,1.01
ID105,TRUE,0.9933,1
ID106,FALSE,0.5004,1.001
ID107,TRUE,0.5075,1.011
ID108,TRUE,0.5038,1.001
ID109,TRUE,0.505,1.002
ID110,FALSE,0.5087,1.003
ID111,FALSE,0.4985,1.002
ID112,FALSE,0.5005,1.004
ID113,TRUE,0.4972,1.01
ID114,TRUE,0.5099,1.008
ID115,TRUE,0.5016,1.004
ID116,FALSE,0.5295,1.005
ID117,FALSE,0.7106,1
ID118,FALSE,0.4966,1.008
ID119,TRUE,0.7111,1
ID12,TRUE,0.5039,1.006
ID120,TRUE,0.9461,1
ID121,TRUE,0.9365,1
ID122,TRUE,0.5892,1.005
ID123,TRUE,0.9978,1.001
ID124,FALSE,0.4989,1.006
ID125,FALSE,0.5021,1.001
ID126,FALSE,0.4971,1.003
ID127,TRUE,0.5035,1.002
ID128,FALSE,0.5129,1.005
ID129,FALSE,0.5055,1
ID13,FALSE,0.5045,1.026
ID130,FALSE,0.5051,1
ID131,FALSE,0.5042,1.001
ID132,FALSE,0.5029,1.006
ID133,TRUE,0.4997,1.009
ID134,TRUE,0.5009,1.038
ID135,FALSE,0.6471,1.001
ID136,FALSE,0.5183,1.002
ID137,TRUE,0.4979,1.008
ID138,FALSE,0.7293,1
ID139,TRUE,0.8639,1
ID14,FALSE,0.5879,1.001
ID140,TRUE,0.7647,1.001
ID141,TRUE,0.9459,1
ID142,TRUE,0.9749,1
ID143,TRUE,0.5208,1.003
ID144,FALSE,0.5065,1.007
ID145,TRUE,0.5331,1.003
ID146,FALSE,0.5044,1
ID147,FALSE,0.5055,1.005
ID148,TRUE,0.5097,1.002
ID149,FALSE,0.5015,1.003
ID15,TRUE,0.9807,1.001
ID150,TRUE,0.5056,1
ID151,FALSE,0.5025,1.028
ID152,TRUE,0.5039,1.007
ID153,FALSE,0.5022,1.001
ID154,TRUE,0.5031,1.001
ID155,FALSE,0.4948,1.004
ID156,FALSE,0.5131,1.001
ID157,TRUE,0.9069,1
ID158,FALSE,0.8056,1.001
ID159,TRUE,0.9797,1
ID16,TRUE,0.5026,1.011
ID160,TRUE,0.5124,1.005
ID161,TRUE,0.5098,1.002
ID162,FALSE,0.5047,1.012
ID163,TRUE,0.5,1.004
ID164,TRUE,0.5009,1.005
ID165,TRUE,0.4977,1.001
ID166,TRUE,0.9164,1
ID167,FALSE,0.5004,1.001
ID168,TRUE,0.999,1
ID169,FALSE,0.498,1.005
ID17,TRUE,0.4995,1.005
ID170,FALSE,0.5029,1.013
ID171,TRUE,0.5017,1.004
ID172,FALSE,0.5041,1.014
ID173,TRUE,0.5013,1.037
ID175,FALSE,0.5075,1.016
ID176,TRUE,0.977,1
ID177,TRUE,0.9805,1
ID178,TRUE,0.7533,1
ID179,TRUE,0.5007,1.001
ID180,FALSE,0.5014,1.001
ID181,FALSE,0.4977,1.001
ID182,TRUE,0.9721,1
ID183,TRUE,0.7665,1
ID184,TRUE,0.7245,1.001
ID185,TRUE,0.9393,1
ID186,TRUE,0.5025,1.001
ID187,TRUE,0.5083,1.01
ID189,FALSE,0.4991,1.002
ID19,TRUE,0.7861,1.001
ID190,FALSE,0.4996,1.003
ID192,TRUE,0.5095,1
ID193,FALSE,0.4999,1.001
ID194,TRUE,0.9702,1
ID195,TRUE,0.9921,1
ID196,TRUE,0.8239,1
ID197,TRUE,0.5076,1.03
ID198,TRUE,0.5069,1.004
ID199,FALSE,0.5058,1.001
ID2,FALSE,0.5051,1.003
ID20,TRUE,0.9899,1
ID200,TRUE,0.5029,1.003
ID201,FALSE,0.5009,1.002
ID203,FALSE,0.501,1.001
ID205,TRUE,0.5053,1.005
ID206,FALSE,0.5014,1.002
ID23,FALSE,0.5066,1.002
ID24,TRUE,0.5007,1.011
ID25,TRUE,0.5013,1.001
ID26,FALSE,0.5133,1.001
ID27,TRUE,0.9857,1
ID28,TRUE,0.9454,1
ID29,TRUE,0.5203,1
ID30,TRUE,0.8003,1
ID31,TRUE,0.9033,1
ID32,TRUE,0.8918,1.001
ID33,TRUE,0.7735,1.001
ID35,TRUE,0.5069,1
ID36,TRUE,0.5045,1.003
ID37,TRUE,0.4977,1.002
ID38,FALSE,0.5013,1.011
